time,timestamp,checkoutservice_productcatalogservice,checkoutservice_currencyservice,checkoutservice_emailservice,frontend_currencyservice,frontend_recommendationservice,recommendationservice_productcatalogservice,checkoutservice_cartservice,frontend_checkoutservice,frontend_shippingservice,frontend_adservice,frontend_productcatalogservice,checkoutservice_shippingservice,frontend_cartservice,checkoutservice_paymentservice
2022-08-23 14:05:28.586711665 +0000 UTC m=+7560.569147940,1661263528,0.003461538,0.0034,0.875,0.004514286,0.007713415,0.00335443,0.003,1.75,0.003066667,0.012678571,0.003170055,0.003,0.003034783,0.003
2022-08-23 14:06:28.847494311 +0000 UTC m=+7620.829930587,1661263588,0.0035,0.052272727,0.875,0.0091,0.008133333,0.003615385,0.003,1.75,0.003,0.015625,0.003190476,0.003,0.003134454,0.003
2022-08-23 14:07:28.860124622 +0000 UTC m=+7680.842560897,1661263648,0.003375,0.004125,0.003,0.004685714,0.007763158,0.003380952,0.003,0.325,0.002928571,0.011209677,0.003221465,0.003,0.003018692,0.003
2022-08-23 14:08:28.905369475 +0000 UTC m=+7740.887805751,1661263708,0.00324,0.071666667,0.003,0.025,0.007876712,0.00325,0.003,0.75,0.003,0.014864865,0.003141304,0.003,0.003,0.003
2022-08-23 14:09:28.801158351 +0000 UTC m=+7800.783594627,1661263768,0.003363636,0.045833333,0.003,0.004878505,0.007621951,0.003302326,0.003285714,0.375,0.003,0.011,0.003192771,0.003,0.003035088,0.003
2022-08-23 14:10:28.698675491 +0000 UTC m=+7860.681111766,1661263828,0.0034,0.0375,0.003,0.005080645,0.008566176,0.003428571,0.003,0.2125,0.003,0.013947368,0.003206107,0.003,0.003067227,0.003
2022-08-23 14:11:28.63646158 +0000 UTC m=+7920.618897864,1661263888,0.003,0.025,0.003,0.005795455,0.007565789,0.003077922,0.003,0.25,0.003,0.014285714,0.003076305,0.003,0.003018519,0.003
2022-08-23 14:12:28.587488232 +0000 UTC m=+7980.569924518,1661263948,0.003,0.003727273,0.003,0.004383838,0.007767857,0.003094118,0.003,0.175,0.003,0.015067568,0.003108696,0.003,0.003019231,0.003
2022-08-23 14:13:28.600656183 +0000 UTC m=+8040.583092459,1661264008,0.0031,0.0725,0.003,0.009305556,0.007758621,0.003177778,0.003166667,0.8,0.003,0.013552632,0.003113523,0.003,0.003078431,0.003
2022-08-23 14:14:28.793567557 +0000 UTC m=+8100.776003832,1661264068,0.003,0.0075,0.003,0.007115385,0.0079,0.003294118,0.003,0.875,0.003,0.013636364,0.003105042,0.003,0.003018018,0.003
2022-08-23 14:15:28.654654756 +0000 UTC m=+8160.637091032,1661264128,0.003222222,0.004636364,0.003,0.007121212,0.007988506,0.003142857,0.003166667,0.75,0.003,0.0150625,0.003164087,0.003,0.003065041,0.003
2022-08-23 14:16:28.599492283 +0000 UTC m=+8220.581928558,1661264188,0.003,0.025,0.003,0.004836957,0.007777778,0.003164706,0.003117647,0.75,0.003066667,0.012727273,0.003131673,0.003,0.003051282,0.003
2022-08-23 14:17:28.580928303 +0000 UTC m=+8280.563364578,1661264248,0.003,0.091666667,0.003,0.004059361,0.00778481,0.0035,0.003,0.25,0.003,0.01375,0.003168224,0.003,0.003018868,0.003
2022-08-23 14:18:28.726246734 +0000 UTC m=+8340.708683009,1661264308,0.00325,0.0375,0.003,0.004351563,0.007857143,0.003142857,0.003,0.25,0.002925926,0.015113636,0.003168498,0.003,0.00305,0.003
2022-08-23 14:19:28.668036015 +0000 UTC m=+8400.650472290,1661264368,0.003,0.06875,0.003,0.0043,0.00790625,0.003141176,0.003,0.375,0.003,0.015806452,0.00316819,0.003,0.003036697,0.003
2022-08-23 14:20:28.743400888 +0000 UTC m=+8460.725837162,1661264428,0.003,0.01,0.003,0.004574468,0.007708333,0.003233766,0.0034,0.175,0.003,0.014071429,0.00312806,0.003,0.003108696,0.003
2022-08-23 14:21:28.699890491 +0000 UTC m=+8520.682326774,1661264488,0.0035,0.05,0.003,0.00459204,0.008088235,0.003298507,0.003,0.15625,0.003,0.013958333,0.003134737,0.003,0.003036364,0.003
2022-08-23 14:22:28.897830995 +0000 UTC m=+8580.880267270,1661264548,0.003266667,0.0043,0.003333333,0.004012245,0.00768617,0.003318182,0.003,0.205,0.003,0.014921875,0.003228477,0.003,0.003017699,0.033333333
2022-08-23 14:23:28.871353339 +0000 UTC m=+8640.853789614,1661264608,0.004,0.003,0.003,0.003834783,0.007631579,0.003303797,0.005,0.2125,0.003,0.014573171,0.003149909,0.003,0.003038462,0.0375
2022-08-23 14:24:28.749246345 +0000 UTC m=+8700.731682621,1661264668,0.003333333,0.003615385,0.003,0.00418018,0.00784375,0.003395604,0.003,0.25,0.003,0.012596154,0.003205696,0.003,0.003069565,0.0375
2022-08-23 14:25:28.880618442 +0000 UTC m=+8760.863054728,1661264728,0.003,0.003615385,0.003,0.0059375,0.007902299,0.003376812,0.003,0.4375,0.003,0.011875,0.003172691,0.003,0.003015504,0.04375
2022-08-23 14:26:28.757735845 +0000 UTC m=+8820.740172129,1661264788,0.0032,0.0042,0.003,0.004923077,0.007606383,0.00316092,0.003,0.2125,0.003064516,0.015735294,0.003094755,0.003,0.003017544,0.003
2022-08-23 14:27:28.77057881 +0000 UTC m=+8880.753015085,1661264848,0.0034,0.0035,0.003,0.004661692,0.007589286,0.003263158,0.003,0.175,0.003,0.015576923,0.00319137,0.003,0.003,0.003
2022-08-23 14:28:28.629360235 +0000 UTC m=+8940.611796518,1661264908,0.003,0.0625,0.003,0.00463981,0.008072289,0.003285714,0.003461538,0.25,0.002942857,0.016486486,0.003140704,0.003,0.003070175,0.0035
2022-08-23 14:29:28.698093274 +0000 UTC m=+9000.680529550,1661264968,0.003,0.0044,0.003,0.004207048,0.007698864,0.003073171,0.003,0.3125,0.00308,0.012586207,0.003083333,0.003,0.003071429,0.003
2022-08-23 14:30:28.733470271 +0000 UTC m=+9060.715906556,1661265028,0.003,0.0032,0.003,0.004126214,0.088333333,0.003405405,0.003,0.25,0.003,0.0135,0.003139194,0.003,0.003065934,0.003
2022-08-23 14:31:28.785844235 +0000 UTC m=+9120.768280510,1661265088,0.003,0.01,0.003,0.00381982,0.121428571,0.003053333,0.003,0.625,0.003,0.01225,0.00301145,0.003,0.003048193,0.003
2022-08-23 14:32:28.673566459 +0000 UTC m=+9180.656002734,1661265148,0.003,0.003444444,0.003,0.003601626,0.127941176,0.003025,0.003,0.375,0.003117647,0.01375,0.003011583,0.003,0.0030625,0.003
2022-08-23 14:33:28.617235175 +0000 UTC m=+9240.599671451,1661265208,0.003,0.004333333,0.003,0.003599078,0.157692308,0.003109589,0.003,0.25,0.003,0.01421875,0.003,0.003,0.003021505,0.003
2022-08-23 14:34:28.478542892 +0000 UTC m=+9300.460979168,1661265268,0.003666667,0.061111111,0.003,0.004715789,0.007604167,0.003571429,0.003,0.416666667,0.003,0.012857143,0.003247104,0.003,0.003016667,0.003
2022-08-23 14:35:28.772052196 +0000 UTC m=+9360.754488471,1661265328,0.003142857,0.003521739,0.003,0.004569106,0.007690217,0.003168675,0.003,0.175,0.003,0.011730769,0.003203455,0.003,0.003033898,0.003
2022-08-23 14:36:28.911273559 +0000 UTC m=+9420.893709834,1661265388,0.0035,0.0042,0.003,0.004061947,0.007769231,0.003365854,0.0034,0.15,0.003142857,0.017083333,0.003208633,0.002777778,0.003063158,0.003
2022-08-23 14:37:28.701007236 +0000 UTC m=+9480.683443512,1661265448,0.003,0.0032,0.003,0.004699029,0.007623457,0.003227848,0.003,0.175,0.002928571,0.0150625,0.003179048,0.003,0.003017857,0.003
2022-08-23 14:38:28.894672005 +0000 UTC m=+9540.877108280,1661265508,0.003363636,0.0046,0.003,0.004069959,0.007688172,0.003168421,0.003,0.2,0.003,0.016214286,0.003197092,0.003,0.003052174,0.003
2022-08-23 14:39:28.582615466 +0000 UTC m=+9600.565051741,1661265568,0.003,0.003833333,0.003,0.006034483,0.007689873,0.003617647,0.003,0.25,0.003,0.016315789,0.003238748,0.003,0.003019608,0.003
2022-08-23 14:40:28.663374543 +0000 UTC m=+9660.645810819,1661265628,0.75,0.0075,0.003,0.003818182,0.961538462,1.136363636,0.003,0.75,0.003,0.012,0.433962264,0.003,0.003032787,0.003
2022-08-23 14:41:28.532700561 +0000 UTC m=+9720.515136837,1661265688,0.458333333,0.005,0.003,0.003849673,0.983333333,0.979166667,0.003,1.75,0.003,0.0125,0.402777778,0.003,0.003,0.003
2022-08-23 14:42:28.633904021 +0000 UTC m=+9780.616340296,1661265748,,,0.003,0.003778626,1.361111111,1.5,0.003,0.375,0.003,0.015,0.423076923,0.003,0.00312766,0.003
2022-08-23 14:43:28.751559017 +0000 UTC m=+9840.733995292,1661265808,0.25,0.009583333,,0.006875,9.6875,,0.003,,0.003,0.009583333,1.529411765,,0.003,0.003
2022-08-23 14:44:28.763827244 +0000 UTC m=+9900.746263520,1661265868,,,,0.0048,,,,,0.003,0.0175,1.980769231,,0.003,
2022-08-23 14:45:28.671697918 +0000 UTC m=+9960.654134202,1661265928,0.003181818,0.069444444,0.003,0.020588235,0.007640449,0.00328169,0.003222222,0.666666667,0.003,0.013109756,0.003172131,0.003,0.003,0.003
2022-08-23 14:46:28.630669103 +0000 UTC m=+10020.613105378,1661265988,0.003,0.003222222,0.003,0.00446789,0.007823529,0.003441558,0.003,0.15625,0.002939394,0.0145,0.003218924,0.003,0.003050847,0.003
2022-08-23 14:47:28.807672545 +0000 UTC m=+10080.790108821,1661266048,0.003142857,0.0044,0.003,0.004661376,0.007643678,0.003313253,0.003,0.175,0.003,0.011,0.003210145,0.003,0.003057143,0.003
2022-08-23 14:48:29.009834077 +0000 UTC m=+10140.992270352,1661266109,0.003,0.003,0.003,0.003369565,0.0075,0.003142857,0.003,0.075,,0.009583333,0.003036364,0.003,0.003,0.003
2022-08-23 14:49:28.604820649 +0000 UTC m=+10200.587256923,1661266168,0.003,0.005,0.003,0.003602151,0.0075,0.003083333,0.003,0.06875,,0.01,0.003015625,0.003153846,0.003074074,0.003
2022-08-23 14:50:28.842748312 +0000 UTC m=+10260.825184588,1661266228,0.003,0.003,0.003,0.004067568,0.0075,0.003,0.0035,0.075,,0.01375,0.003097087,0.003666667,0.003114286,0.003
2022-08-23 14:51:28.795739683 +0000 UTC m=+10320.778175959,1661266288,0.003,0.0035,0.003,0.004651376,0.007837079,0.003139535,0.003,0.225,0.003,0.016891892,0.00316,0.002777778,0.003032,0.003
2022-08-23 14:52:28.527595031 +0000 UTC m=+10380.510031309,1661266348,0.003181818,0.004,0.003,0.004040984,0.007774725,0.003144578,0.003,0.25,0.003,0.0173125,0.003103512,0.003,0.00305,0.003
2022-08-23 14:53:28.618741325 +0000 UTC m=+10440.601177600,1661266408,0.003307692,0.005833333,0.003,0.006206897,0.007816456,0.003613333,0.003,0.225,0.002925926,0.013125,0.003320144,0.003,0.003015625,0.003
2022-08-23 14:54:28.720370654 +0000 UTC m=+10500.702806930,1661266468,0.003461538,0.005,0.003,0.004598086,0.007698864,0.003337079,0.003,0.235,0.003066667,0.013157895,0.003167213,0.003117647,0.003017544,0.003
2022-08-23 14:55:28.533470381 +0000 UTC m=+10560.515906656,1661266528,0.003857143,0.00875,0.003,0.004679245,0.007897727,0.003119048,0.003,0.15625,0.003,0.011209677,0.003143396,0.003,0.003017391,0.003
2022-08-23 14:56:29.105691834 +0000 UTC m=+10621.088128110,1661266589,0.025,0.004111111,0.003,0.004810526,0.366319444,0.371428571,0.003,0.19375,0.003,0.01387931,0.056469298,0.003,0.003102041,0.003
2022-08-23 14:57:28.967333764 +0000 UTC m=+10680.949770039,1661266648,0.0034,0.0036,0.003,0.004385621,0.334090909,0.344387755,0.003222222,0.1,0.003,0.015,0.039166667,0.003,0.003072289,0.003
2022-08-23 14:58:28.632273973 +0000 UTC m=+10740.614710295,1661266708,0.0045,0.003666667,0.003,0.004156863,0.332589286,0.332589286,0.003,0.175,0.003095238,0.01609375,0.0375,0.002818182,0.003022472,0.003
2022-08-23 14:59:28.62917035 +0000 UTC m=+10800.611606665,1661266768,0.003133333,0.008125,0.003,0.004413953,0.007962963,0.003168675,0.003,0.2125,0.003,0.014939024,0.003107807,0.00275,0.003035088,0.003
2022-08-23 15:00:28.649005632 +0000 UTC m=+10860.631441907,1661266828,0.003285714,0.005,0.003,0.004979381,0.00777439,0.003309524,0.003,0.2125,0.003,0.013928571,0.003281536,0.002714286,0.003017094,0.003
2022-08-23 15:01:28.537886609 +0000 UTC m=+10920.520322917,1661266888,0.00325,0.003909091,0.003,0.003787004,0.007747525,0.003325,0.0035,0.2125,0.003,0.014615385,0.003184783,0.003,0.003015038,0.003
2022-08-23 15:02:28.564070702 +0000 UTC m=+10980.546506977,1661266948,0.003,0.0075,0.003,0.007697368,0.007692308,0.003175,0.003181818,0.19375,0.003,0.01362069,0.003108007,0.003,0.003016807,0.003
2022-08-23 15:03:28.85778525 +0000 UTC m=+11040.840221525,1661267008,0.003571429,0.0045,0.003,0.004764706,0.00788961,0.003473684,0.003,0.19375,0.002931034,0.014772727,0.003316794,0.003,0.003072072,0.003
2022-08-23 15:04:29.018439599 +0000 UTC m=+11101.000875873,1661267069,0.003,0.003888889,0.003,0.004046809,0.007760417,0.003183908,0.003,0.25,0.003,0.014191176,0.003212544,0.003,0.003072072,0.003
2022-08-23 15:05:28.746240178 +0000 UTC m=+11160.728676471,1661267128,0.003,0.003,0.003,0.004042857,0.0075,0.003,0.003285714,0.05,,0.009545455,0.003018349,0.003,0.003068966,0.003
2022-08-23 15:06:28.61126557 +0000 UTC m=+11220.593701845,1661267188,0.003,0.003,0.003,0.003666667,0.007638889,0.003285714,0.003,0.02125,,0.009722222,0.003097087,0.003,0.003,0.003
2022-08-23 15:07:28.774816288 +0000 UTC m=+11280.757252576,1661267248,0.003,0.01,0.003,0.003893204,0.007613636,0.003,0.003,0.025,,0.009166667,0.003052174,0.003,0.003074074,0.003
2022-08-23 15:08:28.613863191 +0000 UTC m=+11340.596299466,1661267308,0.003095238,0.004052632,0.003,0.004056277,0.007921687,0.003255319,0.003,0.225,0.003,0.016875,0.003192733,0.003,0.003051724,0.003
2022-08-23 15:09:28.714120174 +0000 UTC m=+11400.696556460,1661267368,0.003285714,0.004384615,0.003,0.004623762,0.007954545,0.003493827,0.003153846,0.5,0.003,0.01325,0.003222603,0.003,0.003,0.003
2022-08-23 15:10:28.944687807 +0000 UTC m=+11460.927124083,1661267428,0.003352941,0.05,0.003,0.005178571,0.007910959,0.003333333,0.003,0.235,0.003086957,0.011973684,0.003153271,0.00275,0.003036697,0.003
2022-08-23 15:11:28.63224842 +0000 UTC m=+11520.614684694,1661267488,0.0042,0.005,0.003,0.004671362,0.00771875,0.003348837,0.003,0.175,0.003,0.01546875,0.003175559,0.003,0.003017544,0.003
2022-08-23 15:12:28.7623147 +0000 UTC m=+11580.744750976,1661267548,0.003444444,0.025,0.003,0.006666667,0.007792208,0.003358974,0.003,0.5,0.003,0.011544118,0.003182149,0.002714286,0.003018349,0.003
2022-08-23 15:13:28.706524745 +0000 UTC m=+11640.688961023,1661267608,0.003,0.005,0.003,0.004414365,0.007658228,0.00327027,0.003,0.175,0.003,0.0125,0.003142308,0.003,0.003135922,0.003
2022-08-23 15:14:28.791502634 +0000 UTC m=+11700.773938908,1661267668,0.0035,0.004529412,0.003,0.004828221,0.007625,0.003101266,0.003117647,0.19375,0.00292,0.0145,0.003091743,0.003,0.003019048,0.003
2022-08-23 15:15:28.812716133 +0000 UTC m=+11760.795152408,1661267728,0.003,0.0875,0.003,0.00454,0.007610294,0.003333333,0.003,0.75,0.003076923,0.012884615,0.00316309,0.003,0.003041237,0.003
2022-08-23 15:16:28.884231623 +0000 UTC m=+11820.866667898,1661267788,0.003307692,0.0575,0.003,0.016923077,0.007698864,0.003337349,0.003,0.225,0.003,0.014191176,0.003309392,0.003,0.003016667,0.003
2022-08-23 15:17:29.024502959 +0000 UTC m=+11881.006939234,1661267849,0.0036,0.0375,0.0034,0.004438596,0.007587209,0.003357143,0.003,0.1375,0.003,0.012903226,0.003207483,0.003,0.003086957,0.003
2022-08-23 15:18:28.668492126 +0000 UTC m=+11940.650928403,1661267908,0.003,0.003625,0.003,0.00457732,0.007613636,0.003320988,0.003,0.25,0.00308,0.01425,0.00326975,0.003,0.0031875,0.003
2022-08-23 15:19:28.811603735 +0000 UTC m=+12000.794040010,1661267968,0.004,0.00625,0.003,0.004672316,0.008047945,0.003694444,0.003,0.333333333,0.003,0.011607143,0.003225,0.002846154,0.003056604,0.003
2022-08-23 15:20:28.800487753 +0000 UTC m=+12060.782924028,1661268028,0.003,0.0044,0.003,0.004246512,0.00778481,0.003444444,0.003222222,0.25,0.003,0.012625,0.003161049,0.003,0.003093458,0.003
2022-08-23 15:21:28.66340181 +0000 UTC m=+12120.645838085,1661268088,0.003133333,0.004176471,0.003,0.004685714,0.007761628,0.003253165,0.003,0.205,0.003,0.012954545,0.003150183,0.002666667,0.003018182,0.003
2022-08-23 15:22:28.830481255 +0000 UTC m=+12180.812917531,1661268148,0.003,0.003,0.003,0.004080745,0.839285714,0.007,0.003,0.175,0.0031,0.0151,0.003156098,0.003,0.003068182,0.003
2022-08-23 15:23:28.701158452 +0000 UTC m=+12240.683594727,1661268208,0.003,0.003,0.003,0.003913043,0.852941176,0.00537037,0.003,0.1375,0.002894737,0.014191176,0.003411311,0.003,0.003,0.003
2022-08-23 15:24:28.766180867 +0000 UTC m=+12300.748617151,1661268268,0.003,0.0035,0.003,0.00363388,0.605769231,0.006710526,0.003,0.25,0.003,0.010803571,0.003244989,0.003,0.003,0.003
2022-08-23 15:25:28.549407597 +0000 UTC m=+12360.531843872,1661268328,0.003222222,0.003444444,0.003666667,0.003646154,5.131578947,0.007142857,0.003,0.2125,0.003,0.00984375,0.003404372,0.003,0.003097561,0.003
2022-08-23 15:26:28.742696977 +0000 UTC m=+12420.725133252,1661268388,0.003,0.005,0.003,0.004793103,0.00765,0.003275,0.003,0.1,0.003,0.015067568,0.003252354,0.003,0.003031008,0.003
2022-08-23 15:27:28.890433822 +0000 UTC m=+12480.872870106,1661268448,0.003153846,0.01375,0.003,0.004989796,0.007676056,0.003411765,0.003,0.3125,0.003090909,0.014423077,0.003157171,0.003,0.003060606,0.003
2022-08-23 15:28:28.687703686 +0000 UTC m=+12540.670139961,1661268508,0.003266667,0.005,0.003,0.003958904,0.00755814,0.003298851,0.003,0.25,0.003,0.014833333,0.003143095,0.003,0.003072727,0.003
2022-08-23 15:29:28.837498463 +0000 UTC m=+12600.819934747,1661268568,0.003133333,0.003625,0.003,0.004525773,0.00788961,0.003556962,0.003,0.375,0.003114286,0.012867647,0.003222222,0.002866667,0.003018692,0.003
2022-08-23 15:30:28.640811296 +0000 UTC m=+12660.623247571,1661268628,0.003,0.003833333,0.003,0.003509091,4.128787879,0.003195122,0.003,0.175,0.003117647,0.01375,0.003092308,0.003,0.00305,0.003
2022-08-23 15:31:28.88815549 +0000 UTC m=+12720.870591771,1661268688,0.003,0.005,0.003,0.0038,3.53125,0.0033,,0.075,0.003,0.010882353,0.003055749,0.003,0.003,0.003
2022-08-23 15:32:28.8449082 +0000 UTC m=+12780.827344475,1661268748,0.003,0.0034,0.003,0.003358974,3.84375,0.00315,0.003,0.175,0.003,0.015625,0.003037736,0.003,0.003038462,
2022-08-23 15:33:28.896681806 +0000 UTC m=+12840.879118081,1661268808,0.003363636,0.0046,0.003285714,0.004745098,0.007805556,0.003433735,0.003,0.1875,0.003,0.010208333,0.003174342,0.003,0.003046512,0.003
2022-08-23 15:34:28.707583707 +0000 UTC m=+12900.690019982,1661268868,0.003333333,0.055,0.003,0.004709845,0.007794118,0.003103896,0.003,0.175,0.003,0.01362069,0.003122951,0.003,0.003038462,0.003
2022-08-23 15:35:28.815761974 +0000 UTC m=+12960.798198249,1661268928,0.003,0.003666667,0.003,0.007822581,0.007678571,0.003285714,0.003,0.175,0.003,0.015571429,0.003213861,0.003,0.003,
2022-08-23 15:36:28.58526586 +0000 UTC m=+13020.567702134,1661268988,0.0034,0.0038,0.003,0.027,0.007796053,0.003289157,0.003,0.0875,0.003,0.014583333,0.003213287,0.003,0.003051282,0.003
2022-08-23 15:37:28.944669005 +0000 UTC m=+13080.927105280,1661269048,0.003117647,0.0075,0.003,0.004925532,0.007625,0.003405063,0.003,0.25,0.003,0.018023256,0.003179577,0.003,0.003018519,0.003
2022-08-23 15:38:28.821217012 +0000 UTC m=+13140.803653288,1661269108,0.0034,0.01,0.003,0.004356828,0.007666667,0.003186667,0.0034,0.1,0.003,0.01234375,0.003132265,0.003,0.003018692,0.003
2022-08-23 15:39:28.584142952 +0000 UTC m=+13200.566579227,1661269168,0.003,0.003666667,0.003,0.004300885,0.007738095,0.003378378,0.003,1.75,0.003,0.009871795,0.003128155,0.003,0.003,0.003
2022-08-23 15:40:28.69318365 +0000 UTC m=+13260.675619925,1661269228,0.003,0.003545455,0.003,0.004032787,0.007808642,0.003146341,0.003,1.75,0.003074074,0.015955882,0.003205426,0.003,0.003017699,0.003
2022-08-23 15:41:28.641403935 +0000 UTC m=+13320.623840210,1661269288,0.0032,0.004454545,0.003,0.004268519,0.007720588,0.00332,0.003,1.75,0.003,0.014444444,0.003174081,0.003,0.003104167,0.003
2022-08-23 15:42:28.785054889 +0000 UTC m=+13380.767491191,1661269348,0.003666667,0.003571429,0.003,0.004761062,0.007558824,0.003266667,0.003,1.5625,0.003,0.012960526,0.00318254,0.003,0.003017241,0.003
2022-08-23 15:43:28.812284217 +0000 UTC m=+13440.794720492,1661269408,0.003,0.059375,0.003,0.004923913,0.007694444,0.003293333,0.0034,0.2,0.003,0.016219512,0.003100386,0.003,0.003078431,0.003
2022-08-23 15:44:28.808600839 +0000 UTC m=+13500.791037129,1661269468,0.004333333,0.004142857,0.003,0.0058,0.00809375,0.003432432,0.003,0.2125,0.003090909,0.014772727,0.003179389,0.003,0.003017544,0.003
2022-08-23 15:45:28.823642424 +0000 UTC m=+13560.806078700,1661269528,0.003105263,0.08125,0.003,0.005416667,0.007703488,0.003302326,0.003,0.333333333,0.003,0.009871795,0.003168717,0.002777778,0.003,0.003
2022-08-23 15:46:28.567933606 +0000 UTC m=+13620.550369880,1661269588,0.00325,0.054166667,0.003,0.004882353,0.007987805,0.003289474,0.003,0.375,0.003,0.014112903,0.003199601,0.003,0.003067797,0.003
2022-08-23 15:47:29.015229117 +0000 UTC m=+13680.997665391,1661269649,0.003,0.05,0.003,0.006621622,0.007916667,0.003166667,0.003,0.1,0.003,0.013636364,0.003120567,0.003,0.003053097,0.003
2022-08-23 15:48:28.649471833 +0000 UTC m=+13740.631908123,1661269708,0.003,0.009166667,0.003,0.004979899,0.007638889,0.003438356,0.003181818,0.375,0.125,0.013851351,0.003143119,0.083333333,0.003035088,0.003
2022-08-23 15:49:28.867734106 +0000 UTC m=+13800.850170382,1661269768,0.003,0.003923077,0.003,0.004673077,0.007602041,0.003090909,0.003,0.375,0.058333333,0.013,0.00311925,0.1,0.003017544,0.003
2022-08-23 15:50:28.586456209 +0000 UTC m=+13860.568892492,1661269828,0.003666667,0.004384615,0.003,0.003866667,0.007875,0.003379747,0.003,0.40625,0.06,0.014125,0.003147887,0.083333333,0.003,0.0035
2022-08-23 15:51:28.90726066 +0000 UTC m=+13920.889696935,1661269888,0.003,0.0075,0.003,0.050337838,0.007835821,0.003117647,0.003,0.5,0.046875,0.014736842,0.003183445,0.083333333,0.00308,0.003
2022-08-23 15:52:28.870622925 +0000 UTC m=+13980.853059200,1661269948,0.003,0.0625,0.003,0.007928571,0.007823529,0.003333333,0.003222222,0.3125,0.003814815,0.012571429,0.003147783,0.004272727,0.003157895,0.003
2022-08-23 15:53:28.784350896 +0000 UTC m=+14040.766787172,1661270008,0.003,0.004538462,0.003,0.006388889,0.007879747,0.003289474,0.003,0.19375,0.002933333,0.013870968,0.003198473,0.003,0.0031,0.003
2022-08-23 15:54:28.733805529 +0000 UTC m=+14100.716241805,1661270068,0.003222222,0.0038,0.003,0.004450237,0.007824675,0.003909091,0.003,0.0875,0.003,0.013529412,0.003264758,0.002714286,0.003033898,0.003
2022-08-23 15:55:28.840005602 +0000 UTC m=+14160.822441877,1661270128,0.003,0.057142857,0.003,0.006583333,0.007645349,0.003146341,0.003,0.175,0.003,0.016513158,0.003197292,0.003,0.003056604,0.003
2022-08-23 15:56:29.019173908 +0000 UTC m=+14221.001610189,1661270189,0.003111111,0.0045,0.003,0.004481818,0.00808642,0.003426667,0.003666667,0.23125,0.003,0.010535714,0.003197026,0.003,0.003036036,0.003
2022-08-23 15:57:28.95254386 +0000 UTC m=+14280.934980135,1661270248,0.00325,0.025,0.003,0.004574879,0.007682927,0.00330137,0.003,0.875,0.65,0.014390244,0.00308972,0.1,0.003018182,0.003
2022-08-23 15:58:28.869901548 +0000 UTC m=+14340.852337824,1661270308,0.003153846,0.0175,0.003,0.009758065,0.008020833,0.003202532,0.003,0.875,0.670454545,0.013851351,0.003239382,0.1,0.00307767,0.003
2022-08-23 15:59:28.815086511 +0000 UTC m=+14400.797522786,1661270368,0.003,0.005,0.003,0.004434555,0.007777778,0.003298851,0.003333333,0.8125,0.638888889,0.0146875,0.003188679,0.005,0.003038835,0.003
2022-08-23 16:00:28.824230522 +0000 UTC m=+14460.806666798,1661270428,0.003095238,0.0037,0.003,0.004112069,0.007767857,0.003067416,0.003,0.19375,0.003,0.013461538,0.003110912,0.003,0.003055046,0.003
2022-08-23 16:01:28.762011559 +0000 UTC m=+14520.744447834,1661270488,0.003,0.03125,0.003,0.014615385,0.007673611,0.003263158,0.003,0.1375,0.003083333,0.009615385,0.003141264,0.003,0.003,0.003
2022-08-23 16:02:28.880171872 +0000 UTC m=+14580.862608176,1661270548,0.00325,0.0075,0.0034,0.004622449,0.007682927,0.003179775,0.003,0.458333333,0.0029375,0.011714286,0.003201058,0.003,0.003036036,0.003
2022-08-23 16:03:28.688012089 +0000 UTC m=+14640.670448374,1661270608,0.003333333,0.0375,0.003,0.004738318,0.007710843,0.003292683,0.003,0.291666667,0.003083333,0.012916667,0.003189964,0.0032,0.003109091,0.003
2022-08-23 16:04:28.654717827 +0000 UTC m=+14700.637154102,1661270668,0.003,0.003666667,0.003,0.009479167,0.00777439,0.003323529,0.003,0.15,0.003,0.014038462,0.003154489,0.003,0.003037736,0.003
2022-08-23 16:05:28.661163922 +0000 UTC m=+14760.643600197,1661270728,0.003076923,0.0275,0.003,0.004567308,0.007733333,0.00326087,0.003,0.23125,0.0031,0.0109,0.003205788,0.003,0.003018349,0.003
2022-08-23 16:06:28.773045516 +0000 UTC m=+14820.755481804,1661270788,0.003666667,0.003363636,0.003666667,0.004004329,0.007733333,0.003184211,0.003222222,0.175,0.003083333,0.016315789,0.003179283,0.003,0.003040816,0.003
2022-08-23 16:07:28.591186102 +0000 UTC m=+14880.573622377,1661270848,0.003,0.003444444,0.003,0.0055,0.008085938,0.003305556,0.003,0.15,0.003,0.012272727,0.0031409,0.003,0.003018349,0.003
2022-08-23 16:08:28.735326432 +0000 UTC m=+14940.717762707,1661270908,0.003095238,0.004090909,0.003,0.003921569,0.007879747,0.003235294,0.003,0.2125,0.003,0.012142857,0.003157424,0.003,0.003018182,0.003
2022-08-23 16:09:28.634933956 +0000 UTC m=+15000.617370241,1661270968,0.003,0.00375,0.003,0.004645933,0.00775,0.003179775,0.003,0.15,0.002925926,0.013214286,0.003165785,0.003,0.003035088,0.003
2022-08-23 16:10:29.147663654 +0000 UTC m=+15061.130099930,1661271029,0.003,0.0038,0.003,0.004550661,0.007857143,0.003054054,0.003,0.175,0.003,0.010642857,0.003078675,0.003,0.003076923,0.003
