time,timestamp,recommendationservice_productcatalogservice,checkoutservice_emailservice,frontend_productcatalogservice,checkoutservice_cartservice,frontend_currencyservice,frontend_checkoutservice,frontend_adservice,frontend_cartservice,frontend_recommendationservice,checkoutservice_paymentservice,frontend_shippingservice,checkoutservice_productcatalogservice,checkoutservice_currencyservice,checkoutservice_shippingservice
2022-08-22 09:04:20.324063451 +0000 UTC m=+18780.830017435,1661159060,0.009166667,0.003,0.007588889,0.005,0.007411504,0.175,0.013851351,0.00404,0.013238636,0.0075,0.004538462,0.0175,0.004333333,0.005
2022-08-22 09:05:20.207106874 +0000 UTC m=+18840.713060855,1661159120,0.008984375,0.004,0.006961009,0.0075,0.006828704,0.175,0.01175,0.006136364,0.012419355,0.00625,0.0035,0.0175,0.004,0.00625
2022-08-22 09:06:20.348322291 +0000 UTC m=+18900.854276270,1661159180,0.008863636,0.003,0.007749042,0.005,0.008466981,0.175,0.014632353,0.006052632,0.013586957,0.005,0.003434783,0.0175,0.005,0.003
2022-08-22 09:07:20.198043147 +0000 UTC m=+18960.703997151,1661159240,0.009011628,0.003,0.006912252,0.003857143,0.021052632,0.625,0.01140625,0.003883721,0.013409091,0.003,0.003583333,0.008409091,0.077272727,0.003222222
2022-08-22 09:08:20.227487142 +0000 UTC m=+19020.733441126,1661159300,0.011418919,0.003,0.00845941,0.004294118,0.009910714,0.185714286,0.014090909,0.004452055,0.015892857,0.003545455,0.0038,0.007631579,0.004703704,0.003434783
2022-08-22 09:09:20.24877334 +0000 UTC m=+19080.754727319,1661159360,0.009044118,0.003,0.00811284,0.005625,0.034210526,0.25,0.012571429,0.00427027,0.016428571,0.0038,0.003941176,0.01,0.004684211,0.0038
2022-08-22 09:10:20.199802182 +0000 UTC m=+19140.705756174,1661159420,0.008785714,0.003,0.008501984,0.006428571,0.007891304,0.175,0.013125,0.006038961,0.017653061,0.004,0.003592593,0.015,0.003909091,0.003666667
2022-08-22 09:11:20.08248175 +0000 UTC m=+19200.588435730,1661159480,0.009428571,0.003,0.008288177,0.005,0.008195652,0.175,0.015192308,0.005535714,0.014861111,0.003,0.0036,0.00625,0.0038,0.003
2022-08-22 09:12:20.405256918 +0000 UTC m=+19260.911210922,1661159540,0.008653846,0.0075,0.007783019,0.003,0.007944444,0.075,0.0165,0.004516129,0.014308511,0.003,0.00425,0.0075,0.005,0.005
2022-08-22 09:13:20.116050648 +0000 UTC m=+19320.622004628,1661159600,0.009125,0.003,0.006834532,0.004333333,0.008170732,0.3125,0.014256757,0.00425,0.0136,0.003,0.004375,0.008055556,0.04375,0.003571429
2022-08-22 09:14:20.20619424 +0000 UTC m=+19380.712148230,1661159660,0.009583333,0.003,0.007463636,0.006666667,0.008114407,0.25,0.015921053,0.0049,0.014186047,0.004,0.003666667,0.008611111,0.0034,0.0034
2022-08-22 09:15:20.351706861 +0000 UTC m=+19440.857660841,1661159720,0.009602273,0.003,0.00849278,0.0075,0.008105469,0.2,0.015232558,0.005282258,0.014852941,0.004,0.003916667,0.007857143,0.065,0.005
2022-08-22 09:16:20.358147175 +0000 UTC m=+19500.864101155,1661159780,0.008939394,0.003285714,0.008513986,0.005555556,0.007711538,0.2,0.015930233,0.006282895,0.018349057,0.003666667,0.003518519,0.0175,0.005625,0.003133333
2022-08-22 09:17:20.438162019 +0000 UTC m=+19560.944116008,1661159840,0.008353659,0.003333333,0.008156371,0.00625,0.008761261,0.15,0.015304878,0.004362319,0.015735294,0.003,0.00372,0.007954545,0.004076923,0.003545455
2022-08-22 09:18:20.148376673 +0000 UTC m=+19620.654330652,1661159900,0.009928571,0.003,0.007644928,0.006,0.007054455,0.3125,0.014423077,0.004342857,0.015625,0.005,0.003666667,0.0075,0.029166667,0.003285714
2022-08-22 09:19:20.323826672 +0000 UTC m=+19680.829780652,1661159960,0.008235294,0.0034,0.007884615,0.007272727,0.009093137,0.2125,0.012571429,0.006479592,0.012897727,0.004,0.003363636,0.0075,0.005,0.003666667
2022-08-22 09:20:20.171305391 +0000 UTC m=+19740.677259380,1661160020,0.008,0.003,0.008266332,0.00625,0.007074468,0.175,0.015892857,0.00640625,0.015113636,0.0075,0.004714286,0.007083333,0.0034,0.0034
2022-08-22 09:21:20.206415789 +0000 UTC m=+19800.712369769,1661160080,0.01046875,0.003,0.008006466,0.006666667,0.009254032,0.3125,0.013841463,0.00505102,0.01615,0.006666667,0.004142857,0.0095,0.0375,0.005
2022-08-22 09:22:20.673024495 +0000 UTC m=+19861.178978484,1661160140,0.007564103,0.004,0.007260638,0.00625,0.006171171,0.175,0.014071429,0.004111111,0.012941176,0.00625,0.003416667,0.005,0.058333333,0.0034
2022-08-22 09:23:20.228568792 +0000 UTC m=+19920.734522777,1661160200,0.008333333,0.003,0.007634615,0.005,0.006788462,0.175,0.01375,0.004205479,0.013529412,0.003,0.0035,0.0125,0.0075,0.003666667
2022-08-22 09:24:20.192830237 +0000 UTC m=+19980.698784228,1661160260,0.008112245,0.003,0.007634409,0.007,0.006915323,0.1375,0.0163,0.005643939,0.0146875,0.004,0.003777778,0.0075,0.003666667,0.00625
2022-08-22 09:25:20.374381329 +0000 UTC m=+20040.880335310,1661160320,0.008243243,0.003,0.007297297,0.007083333,0.007832031,0.375,0.013046875,0.0055,0.013676471,0.0042,0.003714286,0.007666667,0.0175,0.003461538
2022-08-22 09:26:20.304234018 +0000 UTC m=+20100.810188019,1661160380,0.009324324,0.003,0.008180934,0.005833333,0.009090909,0.2,0.017857143,0.004965517,0.016428571,0.004333333,0.0045,0.01,0.003888889,0.003857143
2022-08-22 09:27:20.22948635 +0000 UTC m=+20160.735440337,1661160440,0.009,0.003,0.007967033,0.005,0.008302752,0.3125,0.01483871,0.004242424,0.013888889,0.003,0.003307692,0.0065,0.025,0.003
2022-08-22 09:28:20.402616865 +0000 UTC m=+20220.908570869,1661160500,0.009857143,0.003,0.008659274,0.0045,0.009194215,0.28125,0.014939024,0.006118421,0.016470588,0.003,0.004,0.009,0.0075,0.0038
2022-08-22 09:29:20.295853573 +0000 UTC m=+20280.801807557,1661160560,0.00847561,0.004333333,0.007626459,0.005,0.007634228,0.1375,0.015208333,0.005919118,0.0145,0.004333333,0.0043,0.005714286,0.00625,0.005
2022-08-22 09:30:20.211138335 +0000 UTC m=+20340.717092315,1661160620,0.009047619,0.00325,0.007776817,0.005555556,0.009662162,0.5,0.013308824,0.00465625,0.015689655,0.0046,0.0038,0.007777778,0.056818182,0.004
2022-08-22 09:31:20.272491181 +0000 UTC m=+20400.778445162,1661160680,0.007925532,0.003,0.007677824,0.003,0.007482993,0.175,0.014112903,0.004451613,0.014,0.0075,0.004111111,0.0175,0.005,0.003
2022-08-22 09:32:20.372679441 +0000 UTC m=+20460.878633430,1661160740,0.008869048,0.003666667,0.007594637,0.0042,0.008423567,0.2,0.013428571,0.004314286,0.015394737,0.003666667,0.003666667,0.0075,0.0375,0.003285714
2022-08-22 09:33:20.213564293 +0000 UTC m=+20520.719518287,1661160800,0.008313953,0.003666667,0.007137255,0.006666667,0.008256881,0.23125,0.01525,0.005291667,0.015,0.003,0.003521739,0.0075,0.05625,0.003666667
2022-08-22 09:34:20.259680176 +0000 UTC m=+20580.765634165,1661160860,0.00875,0.003,0.007735849,0.004714286,0.009867021,0.3125,0.015,0.005458333,0.015089286,0.0045,0.003307692,0.007272727,0.05,0.003
2022-08-22 09:35:20.568052439 +0000 UTC m=+20641.074006452,1661160920,0.008229167,0.003,0.00725,0.0035,0.007738095,0.175,0.013125,0.004246377,0.013333333,0.003,0.0034,0.005625,0.004142857,0.003666667
2022-08-22 09:36:20.369390604 +0000 UTC m=+20700.875344585,1661160980,0.007892157,0.003666667,0.007605519,0.0042,0.00754902,0.164285714,0.014453125,0.004704918,0.0145,0.006666667,0.004058824,0.009583333,0.003307692,0.005
2022-08-22 09:37:20.418193567 +0000 UTC m=+20760.924147559,1661161040,0.009285714,0.003,0.008261246,0.003,0.009652778,0.15,0.0161875,0.006282051,0.016147541,0.003,0.003823529,0.003,0.05,0.003
2022-08-22 09:38:20.274371787 +0000 UTC m=+20820.780325766,1661161100,0.009333333,0.003,0.008280423,0.0075,0.016710526,,0.015714286,0.006116071,0.015663265,0.003,0.003533333,0.0075,0.05,0.003
2022-08-22 09:39:20.17854546 +0000 UTC m=+20880.684499441,1661161160,0.008920455,0.003,0.007757732,0.005,0.007043919,0.375,0.016907895,0.004369863,0.016696429,0.0075,0.0035,0.02125,0.066666667,0.0075
2022-08-22 09:40:20.388556527 +0000 UTC m=+20940.894510507,1661161220,0.008163265,0.003,0.00741,0.0038,0.007581301,0.175,0.011388889,0.004027778,0.014419643,0.003,0.003333333,0.00875,0.052083333,0.003545455
2022-08-22 09:41:20.12123709 +0000 UTC m=+21000.627191070,1661161280,0.008023256,0.003,0.006909871,0.007,0.008147321,,0.011776316,0.004014085,0.013837209,0.004,0.003421053,0.0175,0.05,0.004
2022-08-22 09:42:20.295834306 +0000 UTC m=+21060.801788286,1661161340,0.008602941,0.003333333,0.008004695,0.0059375,0.00875,0.3125,0.016607143,0.006118421,0.014125,0.003333333,0.004333333,0.0145,0.0175,0.004111111
2022-08-22 09:43:20.32016894 +0000 UTC m=+21120.826122949,1661161400,0.008292683,0.005,0.007580071,0.006666667,0.00719697,0.175,0.016875,0.006478873,0.01453125,0.005,0.003941176,0.01375,0.0075,0.003666667
2022-08-22 09:44:20.2259889 +0000 UTC m=+21180.731942889,1661161460,0.009655172,0.0034,0.008396861,0.003666667,0.009663462,0.291666667,0.015670732,0.004138889,0.015863636,0.005,0.003666667,0.007,0.0375,0.003666667
2022-08-22 09:45:20.157562395 +0000 UTC m=+21240.663516376,1661161520,0.008416667,0.003,0.007900844,0.005,0.008944954,,0.014539474,0.0042,0.016,0.003,0.0038,0.005,0.06875,0.003
2022-08-22 09:46:20.336126975 +0000 UTC m=+21300.842080956,1661161580,0.008163265,0.003,0.008123053,0.005833333,0.007204724,0.175,0.017884615,0.006021127,0.015125,0.006875,0.004058824,0.0128125,0.003571429,0.004333333
2022-08-22 09:47:20.350094152 +0000 UTC m=+21360.856048131,1661161640,0.008545455,0.003,0.007893983,0.006875,0.008855932,0.25,0.016590909,0.005890411,0.016346154,0.0035,0.004058824,0.006785714,0.01,0.003
2022-08-22 09:48:20.51540106 +0000 UTC m=+21421.021355040,1661161700,0.0075,0.003,0.007625969,0.006666667,0.007798507,0.625,0.014939024,0.005254237,0.013125,0.004333333,0.003588235,0.009722222,0.03125,0.003222222
2022-08-22 09:49:20.46949681 +0000 UTC m=+21480.975450818,1661161760,0.008863636,0.003666667,0.0084375,0.003666667,0.007520661,0.1375,0.0175,0.004538462,0.01625,0.003666667,0.004272727,0.0078125,0.00475,0.003
2022-08-22 09:50:20.417003916 +0000 UTC m=+21540.922957896,1661161820,0.014632353,0.0034,0.009279661,0.004428571,0.008380282,0.22,0.016283784,0.004529412,0.019489796,0.003,0.003909091,0.0071875,0.004777778,0.0034
2022-08-22 09:51:20.146378806 +0000 UTC m=+21600.652332787,1661161880,0.008076923,0.003,0.007552966,0.005,0.007027972,0.175,0.01234375,0.004806452,0.013520408,0.003,0.00425,0.008125,0.003333333,0.003666667
2022-08-22 09:52:20.243129061 +0000 UTC m=+21660.749083051,1661161940,0.0085,0.003,0.007763672,0.005,0.00953271,0.175,0.012647059,0.006,0.014784483,0.004,0.003444444,0.0084375,0.0044,0.003
2022-08-22 09:53:20.446056162 +0000 UTC m=+21720.952010166,1661162000,0.00787234,0.003,0.007711864,0.003857143,0.00980198,0.2125,0.017302632,0.004098592,0.014913793,0.0035,0.003933333,0.008,0.0375,0.0035
2022-08-22 09:54:20.246498737 +0000 UTC m=+21780.752452731,1661162060,0.009705882,0.003,0.008695286,0.006666667,0.008155488,0.5,0.018625,0.004623188,0.016875,0.003666667,0.003411765,0.009166667,0.15,0.005
2022-08-22 09:55:20.110258889 +0000 UTC m=+21840.616212869,1661162120,0.008205128,0.003,0.006547619,0.005,0.008791209,0.4375,0.015576923,0.005614035,0.012560976,0.004,0.003555556,0.0115,0.01,0.0034
2022-08-22 09:56:20.250400688 +0000 UTC m=+21900.756354669,1661162180,0.008851351,0.003,0.007622642,0.006875,0.008229167,0.2125,0.016153846,0.005245902,0.015054348,0.004333333,0.0037,0.008055556,0.005,0.0035
2022-08-22 09:57:20.4289769 +0000 UTC m=+21960.934930904,1661162240,0.008536585,0.003,0.00828,0.005,0.007481061,0.175,0.015625,0.004373134,0.01495,0.005,0.004,0.0075,0.0175,0.005
2022-08-22 09:58:20.105726972 +0000 UTC m=+22020.611680952,1661162300,0.008611111,0.003,0.006738351,0.0035,0.009147727,0.1875,0.013035714,0.004195122,0.012074468,0.004333333,0.003296296,0.00875,0.029166667,0.003857143
2022-08-22 09:59:20.518036997 +0000 UTC m=+22081.023990977,1661162360,0.009083333,0.004,0.007933071,0.00625,0.007551546,0.1,0.015,0.004238095,0.015526316,0.00625,0.004076923,0.008333333,0.04375,0.003
2022-08-22 10:00:20.577006472 +0000 UTC m=+22141.082960455,1661162420,0.008306452,0.003,0.007623967,0.0075,0.008901869,0.375,0.011935484,0.004927273,0.014759615,0.0075,0.003777778,0.0175,0.0075,0.003
2022-08-22 10:01:20.427935261 +0000 UTC m=+22200.933889250,1661162480,0.010365854,0.003,0.008336093,0.005,0.007769231,0.2,0.015328947,0.006388889,0.016895161,0.003666667,0.00425,0.01125,0.00625,0.003285714
2022-08-22 10:02:20.572229254 +0000 UTC m=+22261.078183234,1661162540,0.009797297,0.003,0.008728261,0.0042,0.006527778,0.075,0.014821429,0.005197368,0.016853448,0.003666667,0.004076923,0.008,0.0034,0.003285714
2022-08-22 10:03:20.396996394 +0000 UTC m=+22320.902950392,1661162600,0.008984375,0.003,0.007261905,0.003666667,0.009818182,0.5,0.011590909,0.004728814,0.01546875,0.003,0.003588235,0.01,0.005,0.003666667
2022-08-22 10:04:20.431563001 +0000 UTC m=+22380.937516981,1661162660,0.008402778,0.003,0.00745471,0.003666667,0.02125,0.625,0.015,0.004684211,0.015853659,0.003666667,0.003666667,0.0125,0.0375,0.003285714
2022-08-22 10:05:20.149195057 +0000 UTC m=+22440.655149036,1661162720,0.009785714,0.003,0.008521739,0.00625,0.008014019,0.325,0.015,0.005598592,0.0136,0.003,0.003869565,0.0090625,0.0045,0.0034
2022-08-22 10:06:20.458068054 +0000 UTC m=+22500.964022045,1661162780,0.009318182,0.004333333,0.007799539,0.0065625,0.008030303,0.291666667,0.014736842,0.006123188,0.01671875,0.005833333,0.0037,0.005625,0.04375,0.004142857
2022-08-22 10:07:20.22005017 +0000 UTC m=+22560.726004151,1661162840,0.008703704,0.003,0.008023013,0.004,0.00730315,0.175,0.01375,0.005362903,0.014090909,0.0034,0.004375,0.008571429,0.05,0.005
2022-08-22 10:08:20.41935842 +0000 UTC m=+22620.925312408,1661162900,0.008444444,0.003,0.007669323,0.0042,0.029166667,0.175,0.016428571,0.005634921,0.015192308,0.005,0.0032,0.0075,0.0625,0.003285714
2022-08-22 10:09:20.156117209 +0000 UTC m=+22680.662071190,1661162960,0.008947368,0.0075,0.007066038,0.005,0.0175,0.175,0.01375,0.004944444,0.013139535,0.003,0.003714286,0.0075,0.005,0.005
2022-08-22 10:10:20.42490419 +0000 UTC m=+22740.930858171,1661163020,0.009512195,0.003285714,0.009138258,0.007142857,0.007913907,0.1625,0.017329545,0.006636905,0.016458333,0.0042,0.004473684,0.008333333,0.0036,0.0042
2022-08-22 10:11:20.334344722 +0000 UTC m=+22800.840298714,1661163080,0.007946429,0.003666667,0.008087189,0.0042,0.007847222,0.175,0.016118421,0.005833333,0.013662791,0.006666667,0.004692308,0.0125,0.01,0.003666667
2022-08-22 10:12:20.468801123 +0000 UTC m=+22860.974755114,1661163140,0.007784091,0.003,0.00755597,0.005,0.008422131,0.1875,0.013984375,0.004552239,0.011755319,0.003,0.004111111,0.006875,0.01,0.003
2022-08-22 10:13:20.440541002 +0000 UTC m=+22920.946494982,1661163200,0.009375,0.0034,0.008716443,0.0034,0.008561321,0.225,0.017,0.0049375,0.017191781,0.004,0.0035,0.009375,0.04375,0.003666667
2022-08-22 10:14:20.507422896 +0000 UTC m=+22981.013376886,1661163260,0.00828125,0.005,0.008324324,0.003,0.00817623,0.375,0.018181818,0.004239437,0.014464286,0.003,0.003470588,0.007083333,0.082142857,0.003666667
2022-08-22 10:15:20.481340129 +0000 UTC m=+23040.987294139,1661163320,0.007439024,0.003,0.007112069,0.006,0.007759259,0.1375,0.015,0.005901639,0.010961538,0.003666667,0.003454545,0.00625,0.00325,0.003666667
2022-08-22 10:16:20.506789808 +0000 UTC m=+23101.012743797,1661163380,0.012368421,0.003,0.008605769,0.005,0.008605769,0.1,0.0145,0.005634921,0.016294643,0.003,0.003875,0.007083333,0.0046,0.003
2022-08-22 10:17:20.257278138 +0000 UTC m=+23160.763232119,1661163440,0.008214286,0.003,0.007621145,0.003,0.007431193,0.25,0.015833333,0.004030303,0.014897959,0.003,0.003625,0.015,0.004333333,0.003
2022-08-22 10:18:20.181531663 +0000 UTC m=+23220.687485643,1661163500,0.009230769,0.004,0.00837585,0.005,0.009214876,0.175,0.016118421,0.004888889,0.016650943,0.00625,0.004692308,0.0085,0.0075,0.004
2022-08-22 10:19:20.303990937 +0000 UTC m=+23280.809944917,1661163560,0.008484848,0.003,0.007581633,0.00625,0.007160194,0.2,0.015,0.00557377,0.013088235,0.005,0.003571429,0.0075,0.004142857,0.003285714
2022-08-22 10:20:20.27957244 +0000 UTC m=+23340.785526420,1661163620,0.009166667,0.003285714,0.008401316,0.006,0.008645833,0.2,0.015384615,0.005970588,0.01576087,0.005,0.003551724,0.00875,0.0075,0.0042
2022-08-22 10:21:20.140004595 +0000 UTC m=+23400.645958577,1661163680,0.008571429,0.003,0.006881356,0.003,0.008104839,0.2125,0.015833333,0.004492063,0.014117647,0.003,0.004538462,0.015,0.0175,0.003
2022-08-22 10:22:20.496633401 +0000 UTC m=+23461.002587381,1661163740,0.008597561,0.003,0.007672101,0.0038,0.008794964,0.375,0.013857143,0.004774194,0.014615385,0.004,0.0036,0.008055556,0.004166667,0.003
2022-08-22 10:23:20.642728751 +0000 UTC m=+23521.148682731,1661163800,0.009047619,0.003,0.008613537,0.005,0.008185484,0.1,0.012763158,0.004677419,0.015377358,0.003,0.003631579,0.01,0.05,0.005
2022-08-22 10:24:20.332321843 +0000 UTC m=+23580.838275824,1661163860,0.0095,0.004,0.007585837,0.005,0.008049451,0.375,0.016283784,0.005742188,0.015892857,0.004,0.003636364,0.01,0.0046,0.004
2022-08-22 10:25:20.373340714 +0000 UTC m=+23640.879294694,1661163920,0.008353659,0.003,0.007385932,0.005,0.00699115,0.1375,0.014946809,0.0055,0.016333333,0.003666667,0.003571429,0.008214286,0.003363636,0.003666667
2022-08-22 10:26:20.247677382 +0000 UTC m=+23700.753631374,1661163980,0.008895349,0.003,0.007565299,0.0035,0.009363208,0.2125,0.011071429,0.004689655,0.014791667,0.003,0.003470588,0.008333333,0.005833333,0.005
2022-08-22 10:27:20.613117605 +0000 UTC m=+23761.119071612,1661164040,0.008833333,0.003,0.0076341,0.0035,0.007742718,0.1375,0.01362069,0.004415385,0.015581395,0.003,0.00337037,0.0075,0.003428571,0.003222222
2022-08-22 10:28:20.318258162 +0000 UTC m=+23820.824212141,1661164100,0.007179487,0.003,0.007590726,0.0075,0.008649635,0.175,0.0175,0.006029412,0.013673469,0.005,0.003727273,0.01,0.0375,0.003
2022-08-22 10:29:20.237495353 +0000 UTC m=+23880.743449336,1661164160,0.008841463,0.003,0.006770833,0.005,0.006634615,0.175,0.013920455,0.005846154,0.013,0.0075,0.003533333,0.005,0.004,0.003
2022-08-22 10:30:20.413765728 +0000 UTC m=+23940.919719751,1661164220,0.009459459,0.003,0.007635379,0.005,0.027232143,0.666666667,0.014423077,0.004304348,0.015904255,0.00625,0.003666667,0.01375,0.075,0.0034
2022-08-22 10:31:20.214916372 +0000 UTC m=+24000.720870352,1661164280,0.007712766,0.003,0.00715587,0.00625,0.007589286,0.175,0.013308824,0.004088235,0.012295918,0.003,0.003272727,0.0095,0.004,0.004
2022-08-22 10:32:20.375145753 +0000 UTC m=+24060.881099732,1661164340,0.009338235,0.003,0.00828125,0.004142857,0.008555046,0.175,0.0165625,0.005096154,0.016792453,0.004333333,0.003625,0.011666667,0.004538462,0.004142857
2022-08-22 10:33:20.39559497 +0000 UTC m=+24120.901548960,1661164400,0.0088125,0.003,0.007680723,0.006,0.008599138,0.2125,0.015073529,0.006156716,0.0154,0.005,0.003705882,0.009,0.004428571,0.003666667
2022-08-22 10:34:20.474026935 +0000 UTC m=+24180.979980918,1661164460,0.008409091,0.003666667,0.007483923,0.006,0.00869898,0.175,0.014285714,0.005597015,0.014419643,0.005,0.003842105,0.009166667,0.00625,0.003285714
2022-08-22 10:35:20.477017806 +0000 UTC m=+24240.982971818,1661164520,0.009324324,0.004,0.00741573,0.005,0.008411458,0.23125,0.01525,0.0046,0.014411765,0.004,0.003181818,0.0146875,0.0075,0.003666667
2022-08-22 10:36:20.248899493 +0000 UTC m=+24300.754853473,1661164580,0.0076875,,0.006957547,,0.007415966,0.175,0.013636364,0.00447541,0.012712766,,0.004,,,
2022-08-22 10:37:20.292074379 +0000 UTC m=+24360.798028360,1661164640,0.008815789,0.003,0.008259259,0.005,0.009761905,0.375,0.013648649,0.005,0.01609375,0.003666667,0.004238095,0.007954545,0.004777778,0.003285714
2022-08-22 10:38:20.165705166 +0000 UTC m=+24420.671659146,1661164700,0.008397436,0.003,0.00760514,0.008,0.007542373,0.175,0.013125,0.005560345,0.0145,0.004,0.003470588,0.015,0.0036,0.0034
2022-08-22 10:39:20.429378246 +0000 UTC m=+24480.935332228,1661164760,0.009264706,0.003,0.00757329,0.006875,0.007605932,0.2,0.015670732,0.005882353,0.015318182,0.004,0.003275862,0.0075,0.004833333,0.003666667
2022-08-22 10:40:20.610210103 +0000 UTC m=+24541.116164085,1661164820,0.008142857,0.003,0.007631579,0.005,0.008402062,0.175,0.014545455,0.003902439,0.01287234,0.003,0.003551724,0.008333333,0.005,0.003
2022-08-22 10:41:20.169939857 +0000 UTC m=+24600.675893837,1661164880,0.008263889,0.003,0.006129386,0.004,0.009766667,0.25,0.011323529,0.003469388,0.011607143,0.0034,0.003666667,0.006944444,0.059375,0.0034
2022-08-22 10:42:20.468792724 +0000 UTC m=+24660.974746704,1661164940,0.008837209,0.003,0.007181818,0.004,0.009358407,0.19375,0.013648649,0.0046,0.013,0.003,0.0037,0.00734375,0.052272727,0.003545455
2022-08-22 10:43:20.421852326 +0000 UTC m=+24720.927806333,1661165000,0.0074375,0.005,0.008312274,0.0075,0.007859712,0.175,0.018297872,0.006805556,0.014267241,0.003,0.003571429,0.008,0.05625,0.005
2022-08-22 10:44:20.592153124 +0000 UTC m=+24781.098107105,1661165060,0.013355263,0.003,0.008190661,0.005625,0.007115385,0.1625,0.011590909,0.005966667,0.0175,0.003333333,0.003538462,0.016,0.003714286,0.003545455
2022-08-22 10:45:20.450098185 +0000 UTC m=+24840.956052206,1661165120,0.008375,0.003333333,0.007851064,0.005833333,0.008690476,0.225,0.015723684,0.004064935,0.01375,0.003,0.003956522,0.0115,0.00875,0.0038
2022-08-22 10:46:20.570451233 +0000 UTC m=+24901.076405234,1661165180,0.009010417,0.003,0.007322581,0.003461538,0.006304348,0.19,0.011693548,0.004589041,0.013545455,0.003,0.0035,0.009642857,0.0038,0.003133333
2022-08-22 10:47:20.294709517 +0000 UTC m=+24960.800663497,1661165240,0.007735849,0.003,0.006997817,0.004,0.007694175,0.375,0.01375,0.004483871,0.011704545,0.003,0.003518519,0.0075,0.0875,0.005
2022-08-22 10:48:20.271571089 +0000 UTC m=+25020.777525068,1661165300,0.009596774,0.003,0.007972441,0.007916667,0.008231132,0.2,0.014090909,0.005674603,0.014903846,0.005,0.003296296,0.0175,0.003444444,0.0042
2022-08-22 10:49:20.282246763 +0000 UTC m=+25080.788200773,1661165360,0.008846154,0.003,0.007976619,0.00625,0.007433036,0.2125,0.015714286,0.005447761,0.015238095,0.004333333,0.003947368,0.012142857,0.004166667,0.003857143
2022-08-22 10:50:20.425175066 +0000 UTC m=+25140.931129046,1661165420,0.009652778,0.0035,0.008118375,0.003857143,0.008394495,0.291666667,0.015670732,0.004342857,0.017857143,0.006875,0.003545455,0.0165625,0.004555556,0.005
2022-08-22 10:51:20.483017598 +0000 UTC m=+25200.988971591,1661165480,0.008214286,0.003666667,0.007628399,0.006666667,0.00983945,0.34375,0.0158125,0.004486486,0.01454918,0.003285714,0.003740741,0.014038462,0.029166667,0.003461538
2022-08-22 10:52:20.637390451 +0000 UTC m=+25261.143344431,1661165540,0.008787879,0.003,0.007583333,0.003666667,0.006465517,0.1375,0.013846154,0.005102041,0.014565217,0.003,0.003545455,0.0115,0.0175,0.0042
2022-08-22 10:53:20.591132005 +0000 UTC m=+25321.097085986,1661165600,0.009351852,0.003,0.008205446,0.006428571,0.008410714,0.25,0.014939024,0.005961538,0.015113636,0.003,0.003470588,0.0075,0.0075,0.003222222
2022-08-22 10:54:20.432656995 +0000 UTC m=+25380.938610974,1661165660,0.007804878,0.003,0.007509259,0.0035,0.008541667,0.175,0.013857143,0.004342857,0.01465,0.0035,0.003333333,0.01,0.058333333,0.0035
2022-08-22 10:55:20.494517307 +0000 UTC m=+25441.000471287,1661165720,0.009469697,0.004,0.008111354,0.00625,0.009038462,0.175,0.014583333,0.004714286,0.013351064,0.004,0.0037,0.01,0.005833333,0.004
2022-08-22 10:56:20.417741629 +0000 UTC m=+25500.923695618,1661165780,0.008548387,0.003285714,0.007688849,0.005357143,0.016111111,0.235,0.01483871,0.003909091,0.015147059,0.003666667,0.004,0.0109375,0.01375,0.003142857
2022-08-22 10:57:20.15164604 +0000 UTC m=+25560.657600020,1661165840,0.008944444,0.003333333,0.007653846,0.00675,0.008185185,0.23125,0.011666667,0.005890411,0.015,0.0038,0.004058824,0.008125,0.025,0.003153846
2022-08-22 10:58:20.484880307 +0000 UTC m=+25620.990834288,1661165900,0.008910256,0.003,0.008763441,0.005,0.006949153,0.25,0.015,0.004769231,0.015666667,0.005,0.003315789,0.009375,0.0046,0.003666667
2022-08-22 10:59:20.566784256 +0000 UTC m=+25681.072738237,1661165960,0.008970588,0.003,0.007754011,0.0046,0.008895833,0.091666667,0.015670732,0.004457143,0.014565217,0.0035,0.004294118,0.011875,0.004714286,0.0035
2022-08-22 11:00:20.351648799 +0000 UTC m=+25740.857602778,1661166020,0.0085,0.0075,0.007454212,0.005,0.009257246,0.175,0.012625,0.006375,0.015138889,0.00625,0.004466667,0.0145,0.003857143,0.003
2022-08-22 11:01:20.414892952 +0000 UTC m=+25800.920846955,1661166080,0.008604651,0.003571429,0.00838403,0.0046,0.008339844,0.15,0.015131579,0.004394737,0.015,0.0046,0.003615385,0.01375,0.0036,0.0046
2022-08-22 11:02:20.232534871 +0000 UTC m=+25860.738488851,1661166140,0.008645833,0.005833333,0.007298077,0.005833333,0.009722222,0.2,0.014539474,0.005172414,0.014891304,0.005833333,0.003454545,0.0145,0.01,0.004333333
2022-08-22 11:03:20.330842819 +0000 UTC m=+25920.836796807,1661166200,0.009342105,0.0035,0.00875,0.005833333,0.007894737,0.3125,0.014054054,0.006461039,0.0175,0.0035,0.0041,0.01,0.040625,0.003857143
2022-08-22 11:04:20.463147689 +0000 UTC m=+25980.969101688,1661166260,0.007867647,0.00625,0.007342437,0.005,0.034558824,0.2125,0.013629032,0.004612903,0.013841463,0.0035,0.003842105,0.0128125,0.03125,0.004333333
